time,symbol,assettype,assetmaintype,cusip,assetsubtype,description,bidprice,bidsize,bidid,askprice,asksize,askid,lastprice,lastsize,lastid,openprice,highprice,lowprice,bidtick,closeprice,netchange,totalvolume,quotetimeinlong,tradetimeinlong,mark,exchange,exchangename,marginable,shortable,volatility,digits,nav,peratio,divamount,divyield,divdate,securitystatus,regularmarketlastprice,regularmarketlastsize,regularmarketnetchange,regularmarkettradetimeinlong,netpercentchangeindouble,markchangeindouble,markpercentchangeindouble,regularmarketpercentchangeindouble,delayed,fiftytwowkhigh,fiftytwowklow
2020-07-14 17:45:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,383.35,100,P,383.42,100,B,383.385,100,N,379.36,386.45,375.51, ,381.91,1.475,26144280,1594748744858,1594748743643,383.385,q,NASD,True,True,0.0208,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,383.385,1,1.475,1594748743643,0.3862,1.475,0.3862,0.3862,False,399.82,192.58
2020-07-14 17:50:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,383.31,100,Q,383.37,400,Z,383.33,100,Q,379.36,386.45,375.51, ,381.91,1.42,26398116,1594749045183,1594749044958,383.33,q,NASD,True,True,0.0207,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,383.33,1,1.42,1594749044958,0.3718,1.42,0.3718,0.3718,False,399.82,192.58
2020-07-14 17:55:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,384.35,300,Z,384.43,100,Z,384.41,100,D,379.36,386.45,375.51, ,381.91,2.5,26781007,1594749345124,1594749345106,384.41,q,NASD,True,True,0.0206,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,384.41,1,2.5,1594749345106,0.6546,2.5,0.6546,0.6546,False,399.82,192.58
2020-07-14 18:00:46,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,383.96,100,P,384.04,100,Q,383.93,100,Z,379.36,386.45,375.51, ,381.91,2.02,27330845,1594749645009,1594749645162,383.96,q,NASD,True,True,0.0204,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,383.93,1,2.02,1594749645162,0.5289,2.05,0.5368,0.5289,False,399.82,192.58
2020-07-14 18:15:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,384.94,100,Z,385.0,100,Z,384.961,500,D,379.36,386.45,375.51, ,381.91,3.0512,28210548,1594750544622,1594750544990,384.961,q,NASD,True,True,0.0202,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,384.961,5,3.0512,1594750544990,0.7989,3.0512,0.7989,0.7989,False,399.82,192.58
2020-07-14 18:20:46,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,385.78,100,N,385.82,100,Q,385.8,100,D,379.36,386.45,375.51, ,381.91,3.89,28593578,1594750846044,1594750846075,385.8,q,NASD,True,True,0.0201,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,385.8,1,3.89,1594750846075,1.0186,3.89,1.0186,1.0186,False,399.82,192.58
2020-07-14 18:25:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,386.69,100,N,386.75,200,Q,386.7,100,P,379.36,386.94,375.51, ,381.91,4.79,29212168,1594751143967,1594751145233,386.7,q,NASD,True,True,0.0199,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,386.7,1,4.79,1594751145233,1.2542,4.79,1.2542,1.2542,False,399.82,192.58
2020-07-14 18:30:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,386.77,100,Q,386.82,100,C,386.795,500,D,379.36,387.15,375.51, ,381.91,4.885,29710356,1594751445494,1594751445270,386.795,q,NASD,True,True,0.0197,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,386.795,5,4.885,1594751445270,1.2791,4.885,1.2791,1.2791,False,399.82,192.58
2020-07-14 18:35:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,386.43,200,Z,386.5,100,Z,386.5,100,D,379.36,387.47,375.51, ,381.91,4.59,30239489,1594751745057,1594751744140,386.5,q,NASD,True,True,0.0196,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,386.5,1,4.59,1594751744140,1.2019,4.59,1.2019,1.2019,False,399.82,192.58
2020-07-14 18:40:45,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,385.99,100,Q,386.05,100,J,386.0,2100,D,379.36,387.47,375.51, ,381.91,4.09,30694008,1594752044706,1594752044554,386.0,q,NASD,True,True,0.0195,4,0.0,30.0784,3.28,0.86,2020-05-08 00:00:00.000,Normal,386.0,21,4.09,1594752044554,1.0709,4.09,1.0709,1.0709,False,399.82,192.58
